count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,No,Player ID,Pitcher_rapsodo_pitch,MLB ID,Date_rapsodo_pitch,Pitch ID,TaggedPitchType_rapsodo_pitch,IsStrike,PlateLocSide_rapsodo_pitch,PlateLocHeight_rapsodo_pitch,RelSpeed_rapsodo_pitch,SpinRate,TrueSpin,SpinEfficiency,Tilt,Spin Confidence,Extension,InducedVertBreak,HorzBreak,VB (spin),HB (spin),HorizontalRelAngle,RelAngle,RelHeight,RelSide,GyroDegree,Unique ID,Device Serial Number,HorzApprAngle,VertApprAngle,Session Name,Intent Type,No_rapsodo_hit,Player ID_rapsodo_hit,Batter_rapsodo_hit,MLB ID_rapsodo_hit,Date_rapsodo_hit,HitID,ExitSpeed,RelSpeed_rapsodo_hit,Angle,Direction,HitSpinRate,Distance,HitSpinTilt,SpinConfidence,PlateLocSide_rapsodo_hit,PlateLocHeight_rapsodo_hit,ContactDepth,Batname,SerialNumber,Unique ID_rapsodo_hit,Session Name_rapsodo_hit,csv_path
75,,,2025/2/25,3639.729427,3009.729429,1740456014,,,前田,Right,TOK,2,野中,Right,niu,3,Top,0,1,0,,,,,,0,0,,,,,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,1,中山絆,,,PickOff,,,,"1,3","1,3",2505510075,牽制,,3637,https://youtu.be/_3MnIPxHw_o&t=3637,1673,https://youtu.be/5EDcInzAEH4&t=1673,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
76,,,2025/2/25,3650.701702,3020.701704,1740456025,,,前田,Right,TOK,2,野中,Right,niu,3,Top,0,1,0,,,,,,0,0,,,,,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,1,中山絆,,,PickOff,,,,"1,3","1,3",2505510076,牽制,,3648,https://youtu.be/_3MnIPxHw_o&t=3648,1684,https://youtu.be/5EDcInzAEH4&t=1684,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
77,40.0,71.0,2025/2/25,3661.618908,3031.61891,1740456036,2.0,2.0,前田,Right,TOK,2,野中,Right,niu,3,Top,0,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.486,-0.048,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,1,中山絆,,,Nothing,,,,,,2505510077,見逃し,,3659,https://youtu.be/_3MnIPxHw_o&t=3659,1695,https://youtu.be/5EDcInzAEH4&t=1695,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,972671.0,TokyoBBC Left,,1740456040.0,1740456040.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972671@1740456040,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
78,,,2025/2/25,3679.150485,3049.150487,1740456054,,,前田,Right,TOK,2,野中,Right,niu,3,Top,0,1,1,,,,,,0,0,,,,,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,1,中山絆,,,PickOff,,,,"1,3","1,3",2505510078,牽制,,3677,https://youtu.be/_3MnIPxHw_o&t=3677,1712,https://youtu.be/5EDcInzAEH4&t=1712,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
79,41.0,72.0,2025/2/25,3690.92717,3060.927172,1740456065,2.0,3.0,前田,Right,TOK,2,野中,Right,niu,3,Top,0,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.23,-0.16,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,1,中山絆,,,Nothing,,,,,,2505510079,ボール,,3688,https://youtu.be/_3MnIPxHw_o&t=3688,1724,https://youtu.be/5EDcInzAEH4&t=1724,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.0,972671.0,TokyoBBC Left,,1740456069.0,1740456069.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972671@1740456069,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
80,42.0,73.0,2025/2/25,3709.580141,3079.580142,1740456084,2.0,4.0,前田,Right,TOK,2,野中,Right,niu,3,Top,0,2,1,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.083,0.0,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,1,中山絆,,,Nothing,,,,,,2505510080,ボール,,3707,https://youtu.be/_3MnIPxHw_o&t=3707,1742,https://youtu.be/5EDcInzAEH4&t=1742,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,972671.0,TokyoBBC Left,,1740456088.0,1740456088.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972671@1740456088,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
81,43.0,74.0,2025/2/25,3730.060082,3100.060084,1740456104,2.0,5.0,前田,Right,TOK,2,野中,Right,niu,3,Top,0,3,1,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,,1.01,0.467,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,1,中山絆,,,Nothing,,,,,,2505510081,四球,,3728,https://youtu.be/_3MnIPxHw_o&t=3728,1763,https://youtu.be/5EDcInzAEH4&t=1763,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,972671.0,TokyoBBC Left,,1740456109.0,1740456109.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972671@1740456109,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
82,,,2025/2/25,3764.942943,3134.942945,1740456140,,,前田,Right,TOK,3,皆吉,Left,niu,3,Top,0,0,0,,,,,,0,0,,,,,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,"1,2",野中,中山絆,,PickOff,,,,"1,6","1,6",2505510082,牽制,,3762,https://youtu.be/_3MnIPxHw_o&t=3762,1782,https://youtu.be/5EDcInzAEH4&t=1782,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
83,44.0,75.0,2025/2/25,3781.132183,3151.132185,1740456155,3.0,1.0,前田,Right,TOK,3,皆吉,Left,niu,3,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.163,0.088,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,"1,2",野中,中山絆,,Nothing,,,,,,2505510083,ボール,,3779,https://youtu.be/_3MnIPxHw_o&t=3779,1798,https://youtu.be/5EDcInzAEH4&t=1798,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0,972671.0,TokyoBBC Left,,1740456160.0,1740456160.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972671@1740456160,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
84,45.0,76.0,2025/2/25,3797.492204,3167.492206,1740456172,3.0,2.0,前田,Right,TOK,3,皆吉,Left,niu,3,Top,0,1,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.558,-0.2,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,"1,2",野中,中山絆,,Nothing,,,,,,2505510084,見逃し,,3795,https://youtu.be/_3MnIPxHw_o&t=3795,1815,https://youtu.be/5EDcInzAEH4&t=1815,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,972671.0,TokyoBBC Left,,1740456176.0,1740456176.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972671@1740456176,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
85,46.0,77.0,2025/2/25,3816.582152,3186.582154,1740456191,3.0,3.0,前田,Right,TOK,3,皆吉,Left,niu,3,Top,0,1,1,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.163,-0.008,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,"1,2",野中,中山絆,,Nothing,,,,,,2505510085,ボール,,3814,https://youtu.be/_3MnIPxHw_o&t=3814,1834,https://youtu.be/5EDcInzAEH4&t=1834,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,972671.0,TokyoBBC Left,,1740456194.0,1740456194.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972671@1740456194,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
86,47.0,78.0,2025/2/25,3836.007545,3206.007547,1740456210,3.0,4.0,前田,Right,TOK,3,皆吉,Left,niu,3,Top,0,2,1,Cutter,InPlay,Undefined,GroundBall,Out,1,0,,,,,24.06074462,40.52510349,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,"1,2",野中,中山絆,,Undefined,,,,3,3A,2505510086,一ゴ,,3834,https://youtu.be/_3MnIPxHw_o&t=3834,1853,https://youtu.be/5EDcInzAEH4&t=1853,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,972671.0,TokyoBBC Left,,1740456215.0,1740456215.0,164.6,116.8,-12.6,30.1,0.0,5.5,0:00,1.0,5.6,91.8,174.7,,V3P4DLKO0850A,972671@1740456215,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
87,48.0,79.0,2025/2/25,3879.598894,3249.598895,1740456254,4.0,1.0,前田,Right,TOK,4,知念,Left,niu,3,Top,1,0,0,Sinker,InPlay,Undefined,GroundBall,Out,1,1,,,0.518,-0.12,23.90108779,35.45547443,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,"2,3",,野中,中山絆,Undefined,,,中山絆,3,3A,2505510087,一ゴ①,,3877,https://youtu.be/_3MnIPxHw_o&t=3877,1875,https://youtu.be/5EDcInzAEH4&t=1875,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,972671.0,TokyoBBC Left,,1740456259.0,1740456259.0,156.7,105.3,-10.6,37.4,2608.83,3.9,9:22,1.0,-11.7,79.9,-24.5,,V3P4DLKO0850A,972671@1740456259,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
88,49.0,80.0,2025/2/25,3911.72066,3281.720662,1740456286,5.0,1.0,前田,Right,TOK,5,乙内,Right,niu,3,Top,2,0,0,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,,0.746,-0.1,45.90884182,26.72969377,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,3,,,野中,Undefined,,,,4,4,2505510088,二飛,,3909,https://youtu.be/_3MnIPxHw_o&t=3909,1893,https://youtu.be/5EDcInzAEH4&t=1893,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,972671.0,TokyoBBC Left,,1740456291.0,1740456291.0,92.8,126.4,55.9,25.6,2431.391,44.3,6:34,1.0,-23.3,75.7,-224.9,,V3P4DLKO0850A,972671@1740456291,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
89,32.0,81.0,2025/2/25,4054.524099,3424.524101,1740456429,1.0,1.0,黒木優,Right,niu,7,青貝,Right,TOK,3,Bottom,0,0,0,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,,0.87,-0.06,92.82244221,9.88140612,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,,,,,Undefined,,,,8,8,2505510089,中飛,,4052,https://youtu.be/_3MnIPxHw_o&t=4052,1911,https://youtu.be/5EDcInzAEH4&t=1911,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,972671.0,TokyoBBC Left,,1740456433.0,1740456433.0,131.2,144.6,35.3,7.0,2055.7515,94.3,11:56,1.0,-1.0,110.6,16.5,,V3P4DLKO0850A,972671@1740456433,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
90,33.0,82.0,2025/2/25,4083.978866,3453.978868,1740456458,2.0,1.0,黒木優,Right,niu,8,山本,Right,TOK,3,Bottom,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.838,0.192,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2505510090,見逃し,,4081,https://youtu.be/_3MnIPxHw_o&t=4081,1926,https://youtu.be/5EDcInzAEH4&t=1926,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,972671.0,TokyoBBC Left,,1740456462.0,1740456462.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972671@1740456462,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
91,34.0,83.0,2025/2/25,4094.341619,3464.341621,1740456469,2.0,2.0,黒木優,Right,niu,8,山本,Right,TOK,3,Bottom,1,0,1,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,,0.59,0.048,40.35264536,103.5283155,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,,,,,Undefined,,,,,,2505510091,ファール,,4092,https://youtu.be/_3MnIPxHw_o&t=4092,1936,https://youtu.be/5EDcInzAEH4&t=1936,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,972671.0,TokyoBBC Left,,1740456473.0,1740456473.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972671@1740456473,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
92,35.0,84.0,2025/2/25,4107.95875,3477.958751,1740456482,2.0,3.0,黒木優,Right,niu,8,山本,Right,TOK,3,Bottom,1,0,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.223,-0.44,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2505510092,ボール,,4105,https://youtu.be/_3MnIPxHw_o&t=4105,1945,https://youtu.be/5EDcInzAEH4&t=1945,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,972671.0,TokyoBBC Left,,1740456487.0,1740456487.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972671@1740456487,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
93,36.0,85.0,2025/2/25,4120.991108,3490.99111,1740456495,2.0,4.0,黒木優,Right,niu,8,山本,Right,TOK,3,Bottom,1,1,2,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,,0.514,0.076,,,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2505510093,空三振,,4118,https://youtu.be/_3MnIPxHw_o&t=4118,1958,https://youtu.be/5EDcInzAEH4&t=1958,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,972671.0,TokyoBBC Left,,1740456500.0,1740456500.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972671@1740456500,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
94,37.0,86.0,2025/2/25,4140.985723,3510.985725,1740456516,3.0,1.0,黒木優,Right,niu,9,成瀬,Left,TOK,3,Bottom,2,0,0,Fastball,InPlay,Undefined,LineDrive,Double,0,0,,,0.71,-0.1,92.34122096,12.17145821,TOK,#217fc4,東大,niu,#2d3097,niu, 諫早第一球場,A,春季オープン戦,Normal,,,,,Undefined,,,,"8,4","8,4",2505510094,右中2,,4138,https://youtu.be/_3MnIPxHw_o&t=4138,1966,https://youtu.be/5EDcInzAEH4&t=1966,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内,"堀端,明石,門田,荒井慶,矢田貝,臼井,青貝,山本,成瀬","中山絆,野中,皆吉,知念,乙内,黒木大,宇土,上ノ堀,穴井","前田,明石,荒井慶,門田,臼井,青貝,山本,堀端,成瀬","黒木優,上ノ堀,宇土,皆吉,穴井,野中,黒木大,知念,乙内","R,L,L,R,R,R,R,R,R,L","R,L,R,L,L,R,L,R,R,R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,972671.0,TokyoBBC Left,,1740456520.0,1740456520.0,146.4,145.1,14.0,12.2,1008.10315,80.0,11:22,1.0,6.4,92.3,-6.1,,V3P4DLKO0850A,972671@1740456520,untitled,/Users/kotarouchida/Analyst-GitHub/オープン戦データ/25-1春/20250225春季オープン戦vs長崎国際大A.csv
